Implementation smell,Namespace,Class,File,Method,Description
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _dirLights = new[] {                  new DirectionalLight {                      Ambient = new Color4( 0.2f' 0.2f' 0.2f)'                      Diffuse = new Color4(0.5f' 0.5f' 0.5f)'                      Specular = new Color4(0.5f' 0.5f' 0.5f)'                      Direction = new Vector3(0.57735f' -0.57735f' 0.57735f)                  }'                  new DirectionalLight {                      Ambient = new Color4(0'0'0)'                      Diffuse = new Color4(1.0f' 0.2f' 0.2f' 0.2f)'                      Specular = new Color4(1.0f' 0.25f' 0.25f' 0.25f)'                      Direction = new Vector3(-0.57735f' -0.57735f' 0.57735f)                  }'                  new DirectionalLight {                      Ambient = new Color4(0'0'0)'                      Diffuse = new Color4(1.0f'0.2f' 0.2f' 0.2f)'                      Specular = new Color4(0'0'0)'                      Direction = new Vector3(0' -0.707f' -0.707f)                  }              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _dirLights = new[] {                  new DirectionalLight {                      Ambient = new Color4( 0.2f' 0.2f' 0.2f)'                      Diffuse = new Color4(0.5f' 0.5f' 0.5f)'                      Specular = new Color4(0.5f' 0.5f' 0.5f)'                      Direction = new Vector3(0.57735f' -0.57735f' 0.57735f)                  }'                  new DirectionalLight {                      Ambient = new Color4(0'0'0)'                      Diffuse = new Color4(1.0f' 0.2f' 0.2f' 0.2f)'                      Specular = new Color4(1.0f' 0.25f' 0.25f' 0.25f)'                      Direction = new Vector3(-0.57735f' -0.57735f' 0.57735f)                  }'                  new DirectionalLight {                      Ambient = new Color4(0'0'0)'                      Diffuse = new Color4(1.0f'0.2f' 0.2f' 0.2f)'                      Specular = new Color4(0'0'0)'                      Direction = new Vector3(0' -0.707f' -0.707f)                  }              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _dirLights = new[] {                  new DirectionalLight {                      Ambient = new Color4( 0.2f' 0.2f' 0.2f)'                      Diffuse = new Color4(0.5f' 0.5f' 0.5f)'                      Specular = new Color4(0.5f' 0.5f' 0.5f)'                      Direction = new Vector3(0.57735f' -0.57735f' 0.57735f)                  }'                  new DirectionalLight {                      Ambient = new Color4(0'0'0)'                      Diffuse = new Color4(1.0f' 0.2f' 0.2f' 0.2f)'                      Specular = new Color4(1.0f' 0.25f' 0.25f' 0.25f)'                      Direction = new Vector3(-0.57735f' -0.57735f' 0.57735f)                  }'                  new DirectionalLight {                      Ambient = new Color4(0'0'0)'                      Diffuse = new Color4(1.0f'0.2f' 0.2f' 0.2f)'                      Specular = new Color4(0'0'0)'                      Direction = new Vector3(0' -0.707f' -0.707f)                  }              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _dirLights = new[] {                  new DirectionalLight {                      Ambient = new Color4( 0.2f' 0.2f' 0.2f)'                      Diffuse = new Color4(0.5f' 0.5f' 0.5f)'                      Specular = new Color4(0.5f' 0.5f' 0.5f)'                      Direction = new Vector3(0.57735f' -0.57735f' 0.57735f)                  }'                  new DirectionalLight {                      Ambient = new Color4(0'0'0)'                      Diffuse = new Color4(1.0f' 0.2f' 0.2f' 0.2f)'                      Specular = new Color4(1.0f' 0.25f' 0.25f' 0.25f)'                      Direction = new Vector3(-0.57735f' -0.57735f' 0.57735f)                  }'                  new DirectionalLight {                      Ambient = new Color4(0'0'0)'                      Diffuse = new Color4(1.0f'0.2f' 0.2f' 0.2f)'                      Specular = new Color4(0'0'0)'                      Direction = new Vector3(0' -0.707f' -0.707f)                  }              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _dirLights = new[] {                  new DirectionalLight {                      Ambient = new Color4( 0.2f' 0.2f' 0.2f)'                      Diffuse = new Color4(0.5f' 0.5f' 0.5f)'                      Specular = new Color4(0.5f' 0.5f' 0.5f)'                      Direction = new Vector3(0.57735f' -0.57735f' 0.57735f)                  }'                  new DirectionalLight {                      Ambient = new Color4(0'0'0)'                      Diffuse = new Color4(1.0f' 0.2f' 0.2f' 0.2f)'                      Specular = new Color4(1.0f' 0.25f' 0.25f' 0.25f)'                      Direction = new Vector3(-0.57735f' -0.57735f' 0.57735f)                  }'                  new DirectionalLight {                      Ambient = new Color4(0'0'0)'                      Diffuse = new Color4(1.0f'0.2f' 0.2f' 0.2f)'                      Specular = new Color4(0'0'0)'                      Direction = new Vector3(0' -0.707f' -0.707f)                  }              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _dirLights = new[] {                  new DirectionalLight {                      Ambient = new Color4( 0.2f' 0.2f' 0.2f)'                      Diffuse = new Color4(0.5f' 0.5f' 0.5f)'                      Specular = new Color4(0.5f' 0.5f' 0.5f)'                      Direction = new Vector3(0.57735f' -0.57735f' 0.57735f)                  }'                  new DirectionalLight {                      Ambient = new Color4(0'0'0)'                      Diffuse = new Color4(1.0f' 0.2f' 0.2f' 0.2f)'                      Specular = new Color4(1.0f' 0.25f' 0.25f' 0.25f)'                      Direction = new Vector3(-0.57735f' -0.57735f' 0.57735f)                  }'                  new DirectionalLight {                      Ambient = new Color4(0'0'0)'                      Diffuse = new Color4(1.0f'0.2f' 0.2f' 0.2f)'                      Specular = new Color4(0'0'0)'                      Direction = new Vector3(0' -0.707f' -0.707f)                  }              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _dirLights = new[] {                  new DirectionalLight {                      Ambient = new Color4( 0.2f' 0.2f' 0.2f)'                      Diffuse = new Color4(0.5f' 0.5f' 0.5f)'                      Specular = new Color4(0.5f' 0.5f' 0.5f)'                      Direction = new Vector3(0.57735f' -0.57735f' 0.57735f)                  }'                  new DirectionalLight {                      Ambient = new Color4(0'0'0)'                      Diffuse = new Color4(1.0f' 0.2f' 0.2f' 0.2f)'                      Specular = new Color4(1.0f' 0.25f' 0.25f' 0.25f)'                      Direction = new Vector3(-0.57735f' -0.57735f' 0.57735f)                  }'                  new DirectionalLight {                      Ambient = new Color4(0'0'0)'                      Diffuse = new Color4(1.0f'0.2f' 0.2f' 0.2f)'                      Specular = new Color4(0'0'0)'                      Direction = new Vector3(0' -0.707f' -0.707f)                  }              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _dirLights = new[] {                  new DirectionalLight {                      Ambient = new Color4( 0.2f' 0.2f' 0.2f)'                      Diffuse = new Color4(0.5f' 0.5f' 0.5f)'                      Specular = new Color4(0.5f' 0.5f' 0.5f)'                      Direction = new Vector3(0.57735f' -0.57735f' 0.57735f)                  }'                  new DirectionalLight {                      Ambient = new Color4(0'0'0)'                      Diffuse = new Color4(1.0f' 0.2f' 0.2f' 0.2f)'                      Specular = new Color4(1.0f' 0.25f' 0.25f' 0.25f)'                      Direction = new Vector3(-0.57735f' -0.57735f' 0.57735f)                  }'                  new DirectionalLight {                      Ambient = new Color4(0'0'0)'                      Diffuse = new Color4(1.0f'0.2f' 0.2f' 0.2f)'                      Specular = new Color4(0'0'0)'                      Direction = new Vector3(0' -0.707f' -0.707f)                  }              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _dirLights = new[] {                  new DirectionalLight {                      Ambient = new Color4( 0.2f' 0.2f' 0.2f)'                      Diffuse = new Color4(0.5f' 0.5f' 0.5f)'                      Specular = new Color4(0.5f' 0.5f' 0.5f)'                      Direction = new Vector3(0.57735f' -0.57735f' 0.57735f)                  }'                  new DirectionalLight {                      Ambient = new Color4(0'0'0)'                      Diffuse = new Color4(1.0f' 0.2f' 0.2f' 0.2f)'                      Specular = new Color4(1.0f' 0.25f' 0.25f' 0.25f)'                      Direction = new Vector3(-0.57735f' -0.57735f' 0.57735f)                  }'                  new DirectionalLight {                      Ambient = new Color4(0'0'0)'                      Diffuse = new Color4(1.0f'0.2f' 0.2f' 0.2f)'                      Specular = new Color4(0'0'0)'                      Direction = new Vector3(0' -0.707f' -0.707f)                  }              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _gridMat = new Material {                  Ambient = new Color4(0.8f' 0.8f' 0.8f)'                  Diffuse = new Color4(0.8f' 0.8f' 0.8f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _gridMat = new Material {                  Ambient = new Color4(0.8f' 0.8f' 0.8f)'                  Diffuse = new Color4(0.8f' 0.8f' 0.8f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _gridMat = new Material {                  Ambient = new Color4(0.8f' 0.8f' 0.8f)'                  Diffuse = new Color4(0.8f' 0.8f' 0.8f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _gridMat = new Material {                  Ambient = new Color4(0.8f' 0.8f' 0.8f)'                  Diffuse = new Color4(0.8f' 0.8f' 0.8f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _gridMat = new Material {                  Ambient = new Color4(0.8f' 0.8f' 0.8f)'                  Diffuse = new Color4(0.8f' 0.8f' 0.8f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _gridMat = new Material {                  Ambient = new Color4(0.8f' 0.8f' 0.8f)'                  Diffuse = new Color4(0.8f' 0.8f' 0.8f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _gridMat = new Material {                  Ambient = new Color4(0.8f' 0.8f' 0.8f)'                  Diffuse = new Color4(0.8f' 0.8f' 0.8f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _gridMat = new Material {                  Ambient = new Color4(0.8f' 0.8f' 0.8f)'                  Diffuse = new Color4(0.8f' 0.8f' 0.8f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _gridMat = new Material {                  Ambient = new Color4(0.8f' 0.8f' 0.8f)'                  Diffuse = new Color4(0.8f' 0.8f' 0.8f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _gridMat = new Material {                  Ambient = new Color4(0.8f' 0.8f' 0.8f)'                  Diffuse = new Color4(0.8f' 0.8f' 0.8f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _cylinderMat = new Material {                  Ambient = Color.White'                  Diffuse = Color.White'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _cylinderMat = new Material {                  Ambient = Color.White'                  Diffuse = Color.White'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _cylinderMat = new Material {                  Ambient = Color.White'                  Diffuse = Color.White'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _cylinderMat = new Material {                  Ambient = Color.White'                  Diffuse = Color.White'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _sphereMat = new Material {                  Ambient = new Color4(0.6f' 0.8f' 0.9f)'                  Diffuse = new Color4(0.6f' 0.8f' 0.9f)'                  Specular = new Color4(16.0f' 0.9f' 0.9f' 0.9f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _sphereMat = new Material {                  Ambient = new Color4(0.6f' 0.8f' 0.9f)'                  Diffuse = new Color4(0.6f' 0.8f' 0.9f)'                  Specular = new Color4(16.0f' 0.9f' 0.9f' 0.9f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _sphereMat = new Material {                  Ambient = new Color4(0.6f' 0.8f' 0.9f)'                  Diffuse = new Color4(0.6f' 0.8f' 0.9f)'                  Specular = new Color4(16.0f' 0.9f' 0.9f' 0.9f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _sphereMat = new Material {                  Ambient = new Color4(0.6f' 0.8f' 0.9f)'                  Diffuse = new Color4(0.6f' 0.8f' 0.9f)'                  Specular = new Color4(16.0f' 0.9f' 0.9f' 0.9f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _sphereMat = new Material {                  Ambient = new Color4(0.6f' 0.8f' 0.9f)'                  Diffuse = new Color4(0.6f' 0.8f' 0.9f)'                  Specular = new Color4(16.0f' 0.9f' 0.9f' 0.9f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _sphereMat = new Material {                  Ambient = new Color4(0.6f' 0.8f' 0.9f)'                  Diffuse = new Color4(0.6f' 0.8f' 0.9f)'                  Specular = new Color4(16.0f' 0.9f' 0.9f' 0.9f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _sphereMat = new Material {                  Ambient = new Color4(0.6f' 0.8f' 0.9f)'                  Diffuse = new Color4(0.6f' 0.8f' 0.9f)'                  Specular = new Color4(16.0f' 0.9f' 0.9f' 0.9f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _sphereMat = new Material {                  Ambient = new Color4(0.6f' 0.8f' 0.9f)'                  Diffuse = new Color4(0.6f' 0.8f' 0.9f)'                  Specular = new Color4(16.0f' 0.9f' 0.9f' 0.9f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _sphereMat = new Material {                  Ambient = new Color4(0.6f' 0.8f' 0.9f)'                  Diffuse = new Color4(0.6f' 0.8f' 0.9f)'                  Specular = new Color4(16.0f' 0.9f' 0.9f' 0.9f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _sphereMat = new Material {                  Ambient = new Color4(0.6f' 0.8f' 0.9f)'                  Diffuse = new Color4(0.6f' 0.8f' 0.9f)'                  Specular = new Color4(16.0f' 0.9f' 0.9f' 0.9f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _boxMat = new Material {                  Ambient = Color.White'                  Diffuse = Color.White'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _boxMat = new Material {                  Ambient = Color.White'                  Diffuse = Color.White'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _boxMat = new Material {                  Ambient = Color.White'                  Diffuse = Color.White'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _boxMat = new Material {                  Ambient = Color.White'                  Diffuse = Color.White'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _skullMat = new Material {                  Ambient = new Color4(0.4f' 0.4f' 0.4f)'                  Diffuse = new Color4(0.8f' 0.8f' 0.8f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _skullMat = new Material {                  Ambient = new Color4(0.4f' 0.4f' 0.4f)'                  Diffuse = new Color4(0.8f' 0.8f' 0.8f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _skullMat = new Material {                  Ambient = new Color4(0.4f' 0.4f' 0.4f)'                  Diffuse = new Color4(0.8f' 0.8f' 0.8f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _skullMat = new Material {                  Ambient = new Color4(0.4f' 0.4f' 0.4f)'                  Diffuse = new Color4(0.8f' 0.8f' 0.8f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _skullMat = new Material {                  Ambient = new Color4(0.4f' 0.4f' 0.4f)'                  Diffuse = new Color4(0.8f' 0.8f' 0.8f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _skullMat = new Material {                  Ambient = new Color4(0.4f' 0.4f' 0.4f)'                  Diffuse = new Color4(0.8f' 0.8f' 0.8f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _skullMat = new Material {                  Ambient = new Color4(0.4f' 0.4f' 0.4f)'                  Diffuse = new Color4(0.8f' 0.8f' 0.8f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _skullMat = new Material {                  Ambient = new Color4(0.4f' 0.4f' 0.4f)'                  Diffuse = new Color4(0.8f' 0.8f' 0.8f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _skullMat = new Material {                  Ambient = new Color4(0.4f' 0.4f' 0.4f)'                  Diffuse = new Color4(0.8f' 0.8f' 0.8f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _skullMat = new Material {                  Ambient = new Color4(0.4f' 0.4f' 0.4f)'                  Diffuse = new Color4(0.8f' 0.8f' 0.8f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = Color.Black              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _centerSphereMat = new Material {                  Ambient = new Color4(0.2f' 0.2f' 0.2f)'                  Diffuse = new Color4(0.2f' 0.2f' 0.2f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = new Color4(0.8f' 0.8f' 0.8f)              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _centerSphereMat = new Material {                  Ambient = new Color4(0.2f' 0.2f' 0.2f)'                  Diffuse = new Color4(0.2f' 0.2f' 0.2f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = new Color4(0.8f' 0.8f' 0.8f)              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _centerSphereMat = new Material {                  Ambient = new Color4(0.2f' 0.2f' 0.2f)'                  Diffuse = new Color4(0.2f' 0.2f' 0.2f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = new Color4(0.8f' 0.8f' 0.8f)              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _centerSphereMat = new Material {                  Ambient = new Color4(0.2f' 0.2f' 0.2f)'                  Diffuse = new Color4(0.2f' 0.2f' 0.2f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = new Color4(0.8f' 0.8f' 0.8f)              };
Magic Number,DynamicCubeMap,DynamicCubeMapDemo,D:\research\architectureSmells\repos\ericrrichards_dx11\DX11\DynamicCubeMap\Program.cs,DynamicCubeMapDemo,The following statement contains a magic number: _centerSphereMat = new Material {                  Ambient = new Color4(0.2f' 0.2f' 0.2f)'                  Diffuse = new Color4(0.2f' 0.2f' 0.2f)'                  Specular = new Color4(16.0f' 0.8f' 0.8f' 0.8f)'                  Reflect = new Color4(0.8f' 0.8f' 0.8f)              };
